No.,Word,Type,Pronounce,Meaning,status,Examples
1,a,"det, pron",,"nh?, m?t ít",learn,
2,abandon,v,?'bænd?n,"b?, t? b?",,
3,abandoned,adj,?'bænd?nd,"b? b? r?i, b? ru?ng  b?",,
4,ability,n,?'biliti,"kh? n?ng, n?ng l?c",,
5,able,adj,eibl,"có n?ng l?c, có tài",,
6,about,"adv, prep",?'baut,"kho?ng, v?",,
7,above,"prep, adv",?'b?v,"? trên, lên trên",,
8,abroad,adv,?'br?:d,"?, ra n??c ngoài, ngoài tr?i",,
9,absence,n,æbs?ns,s? v?ng m?t,,
10,absent,adj,æbs?nt,"v?ng m?t, ngh?",,
11,absolute,adj,æbs?lu:t,"tuy?t ??i, hoàn toàn",,
12,absolutely,adv,æbs?lu:tli,"tuy?t ??i, hoàn toàn",,
13,absorb,v,?b's?:b,"thu hút, h?p thu, lôi cu?n",,
14,abuse,"n, v",?'bju:s,"l?ng hành, l?m d?ng",,
15,academic,adj,",æk?'demik","thu?c  h?c vi?n, ?H, vi?n hàn lâm",,
16,accent,n,æks?nt,"tr?ng âm, d?u tr?ng âm",,
17,accept,v,?k'sept,"ch?p nh?n,  ch?p thu?n",,
18,acceptable,adj,?k'sept?bl,"có th? ch?p nh?n,  ch?p thu?n",,
19,access,n,ækses,"l?i, c?a, ???ng vào",,
20,accident,n,æksid?nt,"tai n?n, r?i ro. by accident: tình  c?",,
21,accidental,adj,",æksi'dentl","tình  c?, b?t ng?",,
22,accidentally,adv,",æksi'dent?li","tình  c?, ng?u nhiên",,
23,accommodation,n,"?,k?m?'dei?n","s? thích  nghi, s? ?i?u ti?t, s? làm cho phù h?p",,
24,accompany,v,?'k?mp?ni,"?i theo, ?i cùng, kèm theo.",,
25,according to,prep,?'k?:di?,"theo, y theo",,
26,account,"n, v",?'kaunt,"tài kho?n, k? toán; tính  toán, tính ??n",,
27,accurate,adj,ækjurit,"?úng ??n, chính  xác, xác ?áng",,
28,accurately,adv,ækjuritli,"?úng ??n, chính  xác",,
29,accuse,v,?'kju:z,"t? cáo, bu?c t?i, k?t t?i",,
30,achieve,v,?'t?i:v,"??t ???c, dành ???c",,
31,achievement,n,?'t?i:vm?nt,"thành  tích, thành  t?u",,
32,acid,n,æsid,axit,,
33,acknowledge,v,?k'n?lid?,"công nh?n,  th?a nh?n",,
