No.	Word	Type	Pronounce	Meaning	status	Examples
1	a	det, pron		nhỏ, một ít
2	abandon	v	ə'bændən	bỏ, từ bỏ
3	abandoned	adj	ə'bændənd	bị bỏ rơi, bị ruồng  bỏ
4	ability	n	ə'biliti	khả năng, năng lực
5	able	adj	eibl	có năng lực, có tài
6	about	adv, prep	ə'baut	khoảng, về
7	above	prep, adv	ə'bʌv	ở trên, lên trên
8	abroad	adv	ə'brɔ:d	ở, ra nước ngoài, ngoài trời
9	absence	n	æbsəns	sự vắng mặt
10	absent	adj	æbsənt	vắng mặt, nghỉ
11	absolute	adj	æbsəlu:t	tuyệt đối, hoàn toàn
12	absolutely	adv	æbsəlu:tli	tuyệt đối, hoàn toàn
13	absorb	v	əb'sɔ:b	thu hút, hấp thu, lôi cuốn
14	abuse	n, v	ə'bju:s	lộng hành, lạm dụng
15	academic	adj	,ækə'demik	thuộc  học viện, ĐH, viện hàn lâm
16	accent	n	æksənt	trọng âm, dấu trọng âm
17	accept	v	ək'sept	chấp nhận,  chấp thuận
18	acceptable	adj	ək'septəbl	có thể chấp nhận,  chấp thuận
19	access	n	ækses	lối, cửa, đường vào
20	accident	n	æksidənt	tai nạn, rủi ro. by accident: tình  cờ
21	accidental	adj	,æksi'dentl	tình  cờ, bất ngờ
22	accidentally	adv	,æksi'dentəli	tình  cờ, ngẫu nhiên
23	accommodation	n	ə,kɔmə'deiʃn	sự thích  nghi, sự điều tiết, sự làm cho phù hợp
24	accompany	v	ə'kʌmpəni	đi theo, đi cùng, kèm theo.
25	according to	prep	ə'kɔ:diɳ	theo, y theo
26	account	n, v	ə'kaunt	tài khoản, kế toán; tính  toán, tính đến
27	accurate	adj	ækjurit	đúng đắn, chính  xác, xác đáng
28	accurately	adv	ækjuritli	đúng đắn, chính  xác
29	accuse	v	ə'kju:z	tố cáo, buộc tội, kết tội
30	achieve	v	ə'tʃi:v	đạt được, dành được
31	achievement	n	ə'tʃi:vmənt	thành  tích, thành  tựu
32	acid	n	æsid	axit
33	acknowledge	v	ək'nɔlidʤ	công nhận,  thừa nhận
34	acquire	v	ə'kwaiə	dành được, đạt được, kiếm được
35	across	adv, prep	ə'krɔs	qua, ngang qua
36	act	n, v	ækt	hành động, hành vi, cử chỉ, đối xử
